[2023-09-25 01:55:56] [信息     ] The index service is started successfully. port: 9000 
[2023-09-25 02:05:16] [信息     ] Register path: /Users/wangjianshen/Downloads/tmp/,files.size: 100 from Peer(127.0.0.1 ), peerId:fbcc266e-31a7-4ef1-aecb-9c4b8e483897 
[2023-09-25 02:05:16] [信息     ] The peer (ID:fbcc266e-31a7-4ef1-aecb-9c4b8e483897, IP:127.0.0.1) sent 100 files to the server.  
[2023-09-25 02:05:44] [信息     ] lookup file text_kb_92.txt 
[2023-09-25 02:06:31] [信息     ] indexFilesStore remove peerKey:peer_key_Id:fbcc266e-31a7-4ef1-aecb-9c4b8e483897_ip:127.0.0.1 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_89.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_76.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_62.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_63.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_77.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_88.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_1.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_3.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_61.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_75.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_49.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_48.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_74.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_60.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_2.txt 
