[2023-09-25 02:08:36] [信息     ] 
The file server is started successfully. port: 9001 
[2023-09-25 02:09:00] [信息     ] send stream to 127.0.0.1:57083 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_1.txt ,fileSize= 1024 
[2023-09-25 02:09:00] [信息     ] send stream to 127.0.0.1:59926 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_51.txt ,fileSize= 1024 
[2023-09-25 02:09:00] [信息     ] send stream to 127.0.0.1:55200 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_31.txt ,fileSize= 1024 
[2023-09-25 02:09:00] [信息     ] send stream to 127.0.0.1:52609 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_41.txt ,fileSize= 1024 
[2023-09-25 02:09:01] [信息     ] send stream to 127.0.0.1:57029 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_81.txt ,fileSize= 1024 
[2023-09-25 02:09:01] [信息     ] send stream to 127.0.0.1:63333 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_91.txt ,fileSize= 1024 
[2023-09-25 02:09:01] [信息     ] send stream to 127.0.0.1:62439 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_11.txt ,fileSize= 1024 
[2023-09-25 02:09:01] [信息     ] send stream to 127.0.0.1:56157 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_61.txt ,fileSize= 1024 
[2023-09-25 02:09:01] [信息     ] send stream to 127.0.0.1:58462 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_21.txt ,fileSize= 1024 
[2023-09-25 02:09:02] [信息     ] send stream to 127.0.0.1:52496 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_71.txt ,fileSize= 1024 
[2023-09-25 02:09:02] [信息     ] send stream to 127.0.0.1:64215 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_2.txt ,fileSize= 1024 
[2023-09-25 02:09:02] [信息     ] send stream to 127.0.0.1:61689 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_52.txt ,fileSize= 1024 
