File,LookUp Start Time,LookUp End Time,LookUp Elapsed Time (ms),Download Start Time,Download End Time,Download Elapsed Time (ms),Total Elapsed Time (ms)
text_kb_71.txt,1695576425467,1695576425510,43,1695576425512,1695576425724,212,255
text_kb_91.txt,1695576425467,1695576425511,44,1695576425724,1695576425933,209,253
text_kb_61.txt,1695576425467,1695576425510,43,1695576425933,1695576426138,205,248
text_kb_21.txt,1695576425467,1695576425511,44,1695576426138,1695576426346,208,252
text_kb_31.txt,1695576425467,1695576425511,44,1695576426346,1695576426551,205,249
text_kb_1.txt,1695576425467,1695576425511,44,1695576426551,1695576426757,206,250
text_kb_41.txt,1695576425467,1695576425510,43,1695576426757,1695576426965,208,251
text_kb_81.txt,1695576425467,1695576425510,43,1695576426965,1695576427174,209,252
text_kb_11.txt,1695576425467,1695576425510,43,1695576427174,1695576427384,210,253
text_kb_51.txt,1695576425467,1695576425510,43,1695576427384,1695576427590,206,249
text_kb_72.txt,1695576425725,1695576425729,4,1695576427590,1695576427798,208,212
text_kb_92.txt,1695576425933,1695576425937,4,1695576427798,1695576428005,207,211
text_kb_62.txt,1695576426139,1695576426144,5,1695576428005,1695576428214,209,214
text_kb_22.txt,1695576426347,1695576426349,2,1695576428214,1695576428421,207,209
text_kb_32.txt,1695576426551,1695576426555,4,1695576428421,1695576428632,211,215
text_kb_2.txt,1695576426758,1695576426761,3,1695576428632,1695576428843,211,214
text_kb_42.txt,1695576426966,1695576426971,5,1695576428844,1695576429051,207,212
text_kb_82.txt,1695576427175,1695576427181,6,1695576429051,1695576429261,210,216
text_kb_12.txt,1695576427385,1695576427390,5,1695576429261,1695576429470,209,214
text_kb_52.txt,1695576427590,1695576427593,3,1695576429471,1695576429681,210,213
text_kb_73.txt,1695576427798,1695576427801,3,1695576429681,1695576429887,206,209
text_kb_93.txt,1695576428006,1695576428009,3,1695576429888,1695576430097,209,212
text_kb_63.txt,1695576428215,1695576428219,4,1695576430097,1695576430305,208,212
text_kb_23.txt,1695576428422,1695576428427,5,1695576430305,1695576430512,207,212
text_kb_33.txt,1695576428633,1695576428638,5,1695576430512,1695576430721,209,214
text_kb_3.txt,1695576428844,1695576428850,6,1695576430721,1695576430931,210,216
text_kb_43.txt,1695576429051,1695576429058,7,1695576430931,1695576431141,210,217
text_kb_83.txt,1695576429262,1695576429267,5,1695576431141,1695576431348,207,212
text_kb_13.txt,1695576429471,1695576429478,7,1695576431348,1695576431556,208,215
text_kb_53.txt,1695576429682,1695576429687,5,1695576431556,1695576431767,211,216
text_kb_74.txt,1695576429888,1695576429893,5,1695576431768,1695576431978,210,215
text_kb_94.txt,1695576430097,1695576430101,4,1695576431978,1695576432187,209,213
text_kb_64.txt,1695576430305,1695576430310,5,1695576432187,1695576432396,209,214
text_kb_24.txt,1695576430513,1695576430516,3,1695576432396,1695576432605,209,212
text_kb_34.txt,1695576430722,1695576430725,3,1695576432605,1695576432816,211,214
text_kb_4.txt,1695576430932,1695576430937,5,1695576432816,1695576433027,211,216
text_kb_44.txt,1695576431142,1695576431144,2,1695576433028,1695576433236,208,210
text_kb_84.txt,1695576431348,1695576431352,4,1695576433236,1695576433443,207,211
text_kb_14.txt,1695576431557,1695576431564,7,1695576433444,1695576433653,209,216
text_kb_54.txt,1695576431768,1695576431771,3,1695576433655,1695576433863,208,211
text_kb_75.txt,1695576431978,1695576431985,7,1695576433863,1695576434073,210,217
text_kb_95.txt,1695576432189,1695576432193,4,1695576434074,1695576434283,209,213
text_kb_65.txt,1695576432396,1695576432402,6,1695576434283,1695576434489,206,212
text_kb_25.txt,1695576432606,1695576432610,4,1695576434489,1695576434698,209,213
text_kb_35.txt,1695576432816,1695576432822,6,1695576434698,1695576434908,210,216
text_kb_5.txt,1695576433028,1695576433033,5,1695576434908,1695576435118,210,215
text_kb_45.txt,1695576433237,1695576433239,2,1695576435119,1695576435325,206,208
text_kb_85.txt,1695576433444,1695576433448,4,1695576435325,1695576435533,208,212
text_kb_15.txt,1695576433653,1695576433659,6,1695576435533,1695576435742,209,215
text_kb_55.txt,1695576433863,1695576433868,5,1695576435742,1695576435951,209,214
text_kb_76.txt,1695576434074,1695576434080,6,1695576435951,1695576436163,212,218
text_kb_96.txt,1695576434283,1695576434286,3,1695576436164,1695576436373,209,212
text_kb_66.txt,1695576434489,1695576434496,7,1695576436374,1695576436582,208,215
text_kb_26.txt,1695576434698,1695576434704,6,1695576436582,1695576436793,211,217
text_kb_36.txt,1695576434908,1695576434914,6,1695576436793,1695576437002,209,215
text_kb_6.txt,1695576435119,1695576435125,6,1695576437002,1695576437212,210,216
text_kb_46.txt,1695576435326,1695576435329,3,1695576437212,1695576437421,209,212
text_kb_86.txt,1695576435534,1695576435536,2,1695576437421,1695576437630,209,211
text_kb_16.txt,1695576435742,1695576435748,6,1695576437630,1695576437840,210,216
text_kb_56.txt,1695576435952,1695576435957,5,1695576437841,1695576438049,208,213
text_kb_77.txt,1695576436164,1695576436168,4,1695576438049,1695576438258,209,213
text_kb_97.txt,1695576436374,1695576436377,3,1695576438258,1695576438466,208,211
text_kb_67.txt,1695576436583,1695576436587,4,1695576438467,1695576438675,208,212
text_kb_27.txt,1695576436794,1695576436797,3,1695576438676,1695576438884,208,211
text_kb_37.txt,1695576437002,1695576437006,4,1695576438884,1695576439091,207,211
text_kb_7.txt,1695576437212,1695576437216,4,1695576439092,1695576439301,209,213
text_kb_47.txt,1695576437421,1695576437424,3,1695576439302,1695576439510,208,211
text_kb_87.txt,1695576437630,1695576437634,4,1695576439511,1695576439721,210,214
text_kb_17.txt,1695576437841,1695576437844,3,1695576439721,1695576439929,208,211
text_kb_57.txt,1695576438049,1695576438055,6,1695576439929,1695576440140,211,217
text_kb_78.txt,1695576438258,1695576438262,4,1695576440140,1695576440350,210,214
text_kb_98.txt,1695576438467,1695576438470,3,1695576440350,1695576440558,208,211
text_kb_68.txt,1695576438676,1695576438679,3,1695576440558,1695576440766,208,211
text_kb_28.txt,1695576438884,1695576438887,3,1695576440766,1695576440975,209,212
text_kb_38.txt,1695576439092,1695576439098,6,1695576440976,1695576441187,211,217
text_kb_8.txt,1695576439302,1695576439309,7,1695576441187,1695576441393,206,213
text_kb_48.txt,1695576439511,1695576439515,4,1695576441393,1695576441602,209,213
text_kb_88.txt,1695576439721,1695576439725,4,1695576441602,1695576441810,208,212
text_kb_18.txt,1695576439929,1695576439933,4,1695576441810,1695576442018,208,212
text_kb_58.txt,1695576440140,1695576440145,5,1695576442018,1695576442225,207,212
text_kb_79.txt,1695576440351,1695576440355,4,1695576442226,1695576442436,210,214
text_kb_99.txt,1695576440558,1695576440561,3,1695576442436,1695576442641,205,208
text_kb_69.txt,1695576440766,1695576440771,5,1695576442642,1695576442852,210,215
text_kb_29.txt,1695576440976,1695576440986,10,1695576442852,1695576443062,210,220
text_kb_39.txt,1695576441187,1695576441190,3,1695576443062,1695576443270,208,211
